"EvergreenName","Application","CommunityPackageId","CommunityVersion","EvergreenVersion","Published","VersionMismatch","StaleDays","LastChecked","AmbiguousMatch"
"1Password","1Password","1password","8.12.32","8.12.32","2026-08-11","False","10","2026-08-21","False"
"FoxitPDFEditor","Foxit PDF Editor","","","14.0.6.33584","","False","","2026-08-22","False"
"FoxitReader","Foxit PDF Reader","FoxitReader","2026.1.3.36551","2026.1.3.36551","2026-08-13","False","9","2026-08-22","False"
"FreeCAD","FreeCAD Team FreeCAD","freecad","1.1.3.1","1.1.3","2026-07-25","True","28","2026-08-22","False"
"FreedomScientificFusion","Freedom Scientific Fusion","","","2026.2605.8","","False","","2026-08-22","False"
"FreedomScientificJAWS","Freedom Scientific JAWS","JAWS","2023.2307.37","2026.2605.43","2023-08-02","True","1116","2026-08-22","False"
"FreedomScientificZoomText","Freedom Scientific ZoomText","","","2026.2605.28","","False","","2026-08-22","False"
"FreeFem","FreeFem","","","4.17","","False","","2026-08-22","False"
"Freelens","Freelens","freelens","1.10.3","1.10.3","2026-07-08","False","45","2026-08-22","False"
"FxSound","FxSound LLC FxSound","fxsound","1.2.13","1.2.13.0","2026-08-20","True","2","2026-08-22","False"
"GanttProject","Bard Software GanttProject","ganttproject","3.1.3100","3.3.3316","2021-06-18","True","1891","2026-08-22","False"
"GDevelopTeamGDevelop","GDevelop Team GDevelop","gdevelop","5.6.280","5.6.280","2026-08-20","False","2","2026-08-22","False"
"GeekSoftwarePDF24Creator","Geek Software PDF24 Creator","pdf24","11.30.1","11.30.1","2026-04-22","False","122","2026-08-22","False"
"genuagenuReSI","genua genuReSI","","","1.21","","False","","2026-08-22","False"
"GeoDa","GeoDa Center GeoDa","geoda","1.22.0.21","1.22.0.21","2025-11-08","False","287","2026-08-22","False"
"GeoGebraClassic","GeoGebra Classic","geogebra","5.0.134","6.0.927.1","2015-07-20","True","4051","2026-08-22","False"
"Gephi","Gephi","gephi","0.11.2","0.11.2","2026-05-10","False","104","2026-08-22","False"
"GhislerTotalCommander","Ghisler TotalCommander","TotalCommander","11.58.0","11.58","2026-07-01","True","52","2026-08-22","False"
"Gimp","GIMP","gimp","3.2.4","3.2.4","2026-04-20","False","124","2026-08-22","False"
"GitExtensions","Git Extensions","gitextensions","7.2.0","7.2.0","2026-07-15","False","38","2026-08-22","False"
"GitForWindows","Git for Windows","git","2.55.0.5","2.55.0.5","2026-08-20","False","2","2026-08-22","False"
"GitHubAtom","GitHub Atom","GitHub","3.2.0.20181119","1.60.0","2018-11-19","True","2833","2026-08-22","True"
"GitHubCLI","GitHub CLI","GitHub","3.2.0.20181119","2.98.0","2018-11-19","True","2833","2026-08-22","True"
"GitHubCopilot","GitHub Copilot","GitHub","3.2.0.20181119","1.1.11","2018-11-19","True","2833","2026-08-22","True"
"GitHubDesktop","GitHub Desktop","GitHub","3.2.0.20181119","3.6.4","2018-11-19","True","2833","2026-08-22","True"
"GitHubRelease","GitHub release","GitHub","3.2.0.20181119","1.60.0","2018-11-19","True","2833","2026-08-22","True"
"Gitify","Gitify Team Gitify","","","7.4.0","","False","","2026-08-22","False"
"GoogleChrome","Google Chrome Enterprise","GoogleChrome","152.0.7977.54","154.0.8015.0","2026-08-19","True","3","2026-08-22","False"
"GoogleChromeDriver","Google Chrome Driver","","","154.0.8015.0","","False","","2026-08-22","False"
"GoogleChromeForTesting","Google Chrome for Testing","","","154.0.8015.0","","False","","2026-08-22","False"
"GoogleChromeHeadlessShell","Google Chrome Headless Shell","","","154.0.8015.0","","False","","2026-08-22","False"
"GoogleDrive","Google Drive","googledrive","129.0.1","79.0.2.0","2026-08-05","True","17","2026-08-22","False"
"GoToConnect","GoTo Connect","","","4.19.3","","False","","2026-08-22","False"
"GoToMeeting","GoTo Meeting","gotomeeting","10.19.19950","4.19.3","2022-04-27","True","1578","2026-08-22","False"
"GoToOpener","GoTo Opener","gotoopener","1.0.568","Latest","2024-10-24","True","667","2026-08-22","False"
"Gpg4win","Gpg4win","Gpg4win","5.1.0","5.1.0","2026-07-29","False","24","2026-08-22","False"
"gPodder","The gPodder Team gPodder","gpodder","3.11.4","3.11.5","2023-10-24","True","1033","2026-08-22","False"
"GrafanaAlloy","Grafana Lab Grafana Alloy","grafana","13.2.0","1.18.1","2026-08-18","True","4","2026-08-22","True"
"Grafanak6","Grafana Labs Grafana k6","grafana","13.2.0","2.2.0","2026-08-18","True","4","2026-08-22","True"
"Grafanak6Studio","Grafana Labs Grafana k6 Studio","grafana","13.2.0","2.1.0","2026-08-18","True","4","2026-08-22","True"
"Greenshot","Greenshot","greenshot","1.3.315","1.3.315","2026-03-20","False","155","2026-08-22","False"
"gretl","gretl","gretl","2026.260430.0","2026b","2026-05-01","True","113","2026-08-22","False"
"gsudo","gsudo","gsudo","2.6.1","2.6.1","2025-10-06","False","320","2026-08-22","False"
"GynzyDesktop","Gynzy Desktop","","","2.5.0","","False","","2026-08-22","False"
"Handbrake","Handbrake","handbrake","1.11.2","1.11.2","2026-06-08","False","75","2026-08-22","False"
"HannaKnutssonQalculate","Hanna Knutsson Qalculate!","","","5.12.0","","False","","2026-08-22","False"
"HardcodedSoftwaredupeGuru","Hardcoded Software dupeGuru","dupeguru","4.3.1","4.3.1","2022-07-09","False","1505","2026-08-22","False"
"HashicorpBoundary","Hashicorp Boundary","","","0.21.3","","False","","2026-08-22","False"
"HashicorpConsul","Hashicorp Consul","consul","2.0.3","2.0.3","2026-08-08","False","14","2026-08-22","False"
"HashicorpNomad","Hashicorp Nomad","nomad","1.5.8","2.0.5","2023-08-30","True","1088","2026-08-22","False"
"HashicorpPacker","Hashicorp Packer","packer","1.16.0","1.16.0","2026-07-25","False","28","2026-08-22","False"
