"Repo","Stars","CreatedAt","Language","WindowsInstallerAssets","HasChocolateyPackage","ChocolateyMatch","Url","LastChecked"
"openclaw/openclaw","387117","2025-11-24","TypeScript","","False",,"https://github.com/openclaw/openclaw","2026-08-22"
"obra/superpowers","275967","2025-10-09","Shell","","False",,"https://github.com/obra/superpowers","2026-08-22"
"affaan-m/ECC","242019","2026-01-18","JavaScript","","False",,"https://github.com/affaan-m/ECC","2026-08-22"
"mattpocock/skills","231126","2026-02-03","Shell","","False",,"https://github.com/mattpocock/skills","2026-08-22"
"multica-ai/andrej-karpathy-skills","205081","2026-01-27",,"","False",,"https://github.com/multica-ai/andrej-karpathy-skills","2026-08-22"
"ultraworkers/claw-code","195113","2026-03-31","Rust","","False",,"https://github.com/ultraworkers/claw-code","2026-08-22"
"deepseek-ai/deepseek-harness","183986","2026-08-13","TypeScript","","False",,"https://github.com/deepseek-ai/deepseek-harness","2026-08-22"
"anthropics/skills","170962","2025-09-22","Python","","False",,"https://github.com/anthropics/skills","2026-08-22"
"msitarzewski/agency-agents","147292","2025-10-13","Shell","","False",,"https://github.com/msitarzewski/agency-agents","2026-08-22"
"garrytan/gstack","129169","2026-03-11","TypeScript","","False",,"https://github.com/garrytan/gstack","2026-08-22"
"nextlevelbuilder/ui-ux-pro-max-skill","119665","2025-11-30","Python","","False",,"https://github.com/nextlevelbuilder/ui-ux-pro-max-skill","2026-08-22"
"VoltAgent/awesome-design-md","109652","2026-03-31",,"","False",,"https://github.com/VoltAgent/awesome-design-md","2026-08-22"
"Graphify-Labs/graphify","109435","2026-04-03","Python","","False",,"https://github.com/Graphify-Labs/graphify","2026-08-22"
"DietrichGebert/ponytail","107960","2026-06-12","JavaScript","","False",,"https://github.com/DietrichGebert/ponytail","2026-08-22"
"JuliusBrussee/caveman","100264","2026-04-04","Go","","False",,"https://github.com/JuliusBrussee/caveman","2026-08-22"
"karpathy/autoresearch","94442","2026-03-06","Python","","False",,"https://github.com/karpathy/autoresearch","2026-08-22"
"thedotmack/claude-mem","91506","2025-08-31","JavaScript","","False",,"https://github.com/thedotmack/claude-mem","2026-08-22"
"nexu-io/open-design","90342","2026-04-28","TypeScript","open-design-0.20.2-win-x64-setup.exe","False",,"https://github.com/nexu-io/open-design","2026-08-22"
"addyosmani/agent-skills","89041","2026-02-15","JavaScript","","False",,"https://github.com/addyosmani/agent-skills","2026-08-22"
"odysseus-dev/odysseus","85930","2026-05-31","Python","","False",,"https://github.com/odysseus-dev/odysseus","2026-08-22"
